Human Development Index (HDI),Life expectancy at birth,Mean years of schooling,Expected years of schooling,Gross National Income (GNI) per capita,GNI per capita rank minus HDI rank,Nonincome, HDI
0.943	81.1	12.6	17.3	47	557	6	0.975
0.929	81.9	12.0	18.0	34	431	16	0.979
0.910	80.7	11.6	16.8	36	402	9	0.944
0.910	78.5	12.4	16.0	43	017	6	0.931
0.908	80.7	12.5	18.0	23	737	30	0.978
0.908	81.0	12.1	16.0	35	166	10	0.944
0.908	80.6	11.6	18.0	29	322	19	0.959
0.905	79.6	10.3	14.7	83	717	-6	0.877
0.905	80.4	12.2	15.9	34	854	8	0.940
0.904	81.4	11.7	15.7	35	837	4	0.936
0.903	82.3	11.0	15.6	39	924	0	0.926
0.901	83.4	11.6	15.1	32	295	11	0.940
0.898	82.8	10.0	15.7	44	805	-4	0.910
0.898	81.8	10.4	18.0	29	354	11	0.943
0.897	80.6	11.6	16.9	28	230	12	0.945
0.895	78.8	11.4	16.9	34	347	3	0.926
0.888	81.6	11.9	15.5	25	849	14	0.939
0.886	80.0	10.9	16.1	33	357	2	0.914
0.885	80.9	10.8	15.3	35	719	-4	0.908
0.884	81.5	10.6	16.1	30	462	4	0.919
0.884	79.3	11.6	16.9	24	914	11	0.935
0.882	80.0	10.3	16.8	32	438	0	0.911
0.878	81.4	10.4	16.6	26	508	6	0.920
0.874	81.9	10.1	16.3	26	484	6	0.914
0.867	80.0	10.1	13.3	50	557	-20	0.854
0.865	77.7	12.3	15.6	21	405	14	0.917
0.861	79.9	10.1	16.5	23	747	5	0.902
0.838	80.9	10.4	11.5	36	095	-19	0.836
0.835	74.8	12.0	15.7	16	799	13	0.890
0.834	75.4	11.6	14.9	19	998	8	0.875
0.816	74.4	11.1	15.3	16	581	11	0.862
0.813	76.1	10.0	15.3	17	451	7	0.853
0.810	72.2	10.9	16.1	16	234	10	0.853
0.805	73.3	11.5	15.0	14	293	12	0.857
0.782	71.8	12.1	14.7	9	744	29	0.853
0.781	74.0	10.4	14.9	11	046	20	0.841
0.771	74.6	10.6	13.7	10	361	20	0.831
0.771	73.4	10.6	13.7	11	412	14	0.822
0.766	74.5	10.2	13.7	10	236	16	0.824
0.745	67.0	10.4	15.1	10	585	4	0.786
0.739	76.9	10.4	11.3	7	803	18	0.804
0.733	73.7	12.1	13.1	4	780	36	0.843
0.729	68.5	11.3	14.7	6	175	24	0.810
0.716	74.2	10.8	12.0	5	188	22	0.806
0.704	72.3	10.3	13.7	4	186	26	0.808
0.688	72.4	10.3	12.3	3	931	22	0.788
0.688	69.2	10.7	13.0	4	145	18	0.781
0.641	68.3	10.0	11.4	2	967	19	0.736
